,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
466,0.53576446,0.45279223,0.00676021,0.466
467,0.53582406,0.45269457,0.006772518,0.467
468,0.5358836,0.4525969,0.006784819,0.468
469,0.53594315,0.4524992,0.00679712,0.469
470,0.53600276,0.45240158,0.0068094134,0.47
471,0.53606224,0.45230395,0.006821722,0.471
472,0.53612185,0.45220628,0.00683403,0.472
473,0.5361814,0.4521086,0.0068463236,0.473
474,0.53624094,0.45201096,0.006858632,0.474
475,0.53630054,0.45191327,0.006870933,0.475
476,0.5363601,0.4518156,0.0068832412,0.476
477,0.53641963,0.45171797,0.0068955347,0.477
478,0.53647923,0.4516203,0.006907843,0.478
479,0.5365388,0.45152265,0.006920144,0.479
480,0.5365983,0.451425,0.0069324374,0.48
481,0.5366579,0.45132732,0.0069447383,0.481
482,0.5367175,0.45122966,0.0069570392,0.482
483,0.536777,0.451132,0.0069693476,0.483
484,0.53683656,0.45103437,0.006981641,0.484
485,0.5368961,0.45093668,0.0069939494,0.485
486,0.5369557,0.45083904,0.0070062503,0.486
487,0.53701526,0.45074138,0.007018551,0.487
488,0.5370748,0.4506437,0.007030852,0.488
489,0.5371344,0.45054606,0.0070431605,0.489
490,0.53719395,0.4504484,0.0070554614,0.49
491,0.5372535,0.45035076,0.007067755,0.491
492,0.5373131,0.45025307,0.007080056,0.492
493,0.53737265,0.45015544,0.0070923567,0.493
494,0.5374322,0.45005774,0.0071046576,0.494
495,0.53749174,0.4499601,0.0071169585,0.495
496,0.5375513,0.44986245,0.0071292594,0.496
497,0.5376109,0.44976476,0.0071415603,0.497
498,0.53767043,0.4496671,0.0071538687,0.498
499,0.53773,0.44956946,0.007166162,0.499
500,0.5377895,0.4494718,0.0071784705,0.5
501,0.5378491,0.44937414,0.007190764,0.501
502,0.5379087,0.44927648,0.0072030723,0.502
503,0.5379683,0.4491788,0.0072153807,0.503
504,0.53802776,0.44908115,0.007227674,0.504
505,0.53808737,0.4489835,0.007239975,0.505
506,0.5381469,0.44888586,0.007252276,0.506
507,0.53820646,0.44878817,0.0072645843,0.507
508,0.53826606,0.44869053,0.0072768778,0.508
509,0.5383256,0.44859287,0.007289186,0.509
510,0.53838515,0.4484952,0.0073014796,0.51
511,0.53844476,0.44839752,0.007313788,0.511
512,0.5385043,0.44829988,0.0073260963,0.512
513,0.53856385,0.44820222,0.0073383823,0.513
